timestamp,temp,humidity,rain,cloud,visibility,sunrise,sunset,pwr
1607641200,20.78,77,0,0,10000,1607642673,1607682932,0.812
1607644800,20.78,77,0,90,10000,1607642673,1607682932,12.424
1607648400,22.85,83,0,90,10000,1607642673,1607682932,33.488
1607652000,24.65,78,0,90,10000,1607642673,1607682932,72.564
1607655600,25.46,69,0,90,10000,1607642673,1607682932,113.612
1607659200,26.34,65,0,90,10000,1607642673,1607682932,124.228
1607662800,27.65,58,0,90,10000,1607642673,1607682932,121.128
1607666400,29.22,54,0,40,10000,1607642673,1607682932,107.876
1607670000,30,51,0,40,10000,1607642673,1607682932,82.308
1607673600,30.77,48,0,20,10000,1607642673,1607682932,57.712
1607677200,31.06,48,0,20,10000,1607642673,1607682932,23.368
1607680800,29.73,48,0,20,10000,1607642673,1607682932,2.08
1607684400,28.6,51,0,20,10000,1607642673,1607682932,0
1607688000,26.22,69,0,20,10000,1607642673,1607682932,0
1607691600,24.44,78,0,20,10000,1607642673,1607682932,0
1607695200,25.22,73,0,20,10000,1607642673,1607682932,0
1607698800,25.16,88,0,20,10000,1607642673,1607682932,0
1607702400,26.67,99,0,8,10000,1607642673,1607682932,0
1607706000,26.11,99,0,25,10000,1607729107,1607769353,0
1607709600,23,78,0,20,9000,1607729107,1607769353,0
1607713200,23,73,0,27,8000,1607729107,1607769353,0
1607716800,25.56,99,0,56,10000,1607729107,1607769353,0
1607720400,24.44,99,0,71,10000,1607729107,1607769353,0
1607724000,24.44,99,0,78,10000,1607729107,1607769353,0
1607727600,21.55,93,0,82,9000,1607729107,1607769353,1.56
1607731200,22.03,94,0,85,6000,1607729107,1607769353,27.436
1607734800,22.32,94,0,99,7000,1607729107,1607769353,62.452
1607738400,25.75,78,0,98,8000,1607729107,1607769353,91.02
1607742000,27.22,69,0,0,10000,1607729107,1607769353,109.692
1607745600,28.3,65,0,0,10000,1607729107,1607769353,117.684
1607749200,29.61,55,0,0,10000,1607729107,1607769353,116.236
1607752800,30.12,52,0,0,10000,1607729107,1607769353,104.352
1607756400,32.54,49,0,20,10000,1607729107,1607769353,82.34
1607760000,31.83,46,0,20,10000,1607729107,1607769353,53.292
1607763600,32.12,46,0,40,10000,1607729107,1607769353,21.536
1607767200,31.24,46,0,40,10000,1607729107,1607769353,2.144
1607770800,30.47,48,0,20,10000,1607729107,1607769353,0
1607774400,29.02,61,0,20,9000,1607729107,1607769353,0
1607778000,27.53,65,0,82,8000,1607729107,1607769353,0
1607781600,26.76,73,0,80,9000,1607729107,1607769353,0
1607785200,25.53,83,0,78,9000,1607729107,1607769353,0
1607788800,27.22,99,0,76,10000,1607729107,1607769353,0
1607792400,27.22,99,0,73,10000,1607815540,1607855774,0
1607796000,26.67,99,0,67,10000,1607815540,1607855774,0
1607799600,26.11,99,0,43,10000,1607815540,1607855774,0
1607803200,25.56,99,0,49,10000,1607815540,1607855774,0
1607806800,25.56,99,0,41,10000,1607815540,1607855774,0
1607810400,25,99,0,49,10000,1607815540,1607855774,0
1607814000,21.22,94,0,40,8000,1607815540,1607855774,2.284
1607817600,23.45,94,0,40,7000,1607815540,1607855774,26.116
1607821200,23.45,94,0,20,8000,1607815540,1607855774,61.512
1607824800,27.02,83,0,86,9000,1607815540,1607855774,90.656
1607828400,27.48,78,0,0,10000,1607815540,1607855774,107.48
1607832000,28.3,65,0,0,10000,1607815540,1607855774,115.752
1607835600,29.62,58,0,0,10000,1607815540,1607855774,113.916
1607839200,31.26,49,0,20,10000,1607815540,1607855774,107.108
1607842800,31.55,49,0,40,10000,1607815540,1607855774,63.3
1607846400,32.6,46,0,40,10000,1607815540,1607855774,35.68
1607850000,32.12,46,0,40,10000,1607815540,1607855774,16.584
1607853600,32.32,43,0,40,9000,1607815540,1607855774,1.108
1607857200,31.06,55,0,40,10000,1607815540,1607855774,0
1607860800,28.22,69,0,20,8000,1607815540,1607855774,0
1607864400,28.53,74,0,20,9000,1607815540,1607855774,0
1607868000,27.19,78,0,4,9000,1607815540,1607855774,0
1607871600,26.42,83,0,5,9000,1607815540,1607855774,0
1607875200,27.22,99,0,76,10000,1607815540,1607855774,0
1607878800,26.67,99,0,6,10000,1607901973,1607942197,0
1607882400,26.67,99,0,27,10000,1607901973,1607942197,0
1607886000,26.67,99,0,24,10000,1607901973,1607942197,0
1607889600,26.11,99,0,55,10000,1607901973,1607942197,0
1607893200,25.56,99,0,41,10000,1607901973,1607942197,0
1607896800,25.56,99,0,78,10000,1607901973,1607942197,0
1607900400,23.57,94,0,82,9000,1607901973,1607942197,0.264
1607904000,23.1,94,0,89,8000,1607901973,1607942197,8.748
1607907600,23.88,94,0,87,6000,1607901973,1607942197,50.032
1607911200,27.02,83,0,86,9000,1607901973,1607942197,83.488
1607914800,28.31,74,0,95,8000,1607901973,1607942197,103.132
1607918400,29.31,66,0,20,9000,1607901973,1607942197,105.972
1607922000,30.5,58,0,0,10000,1607901973,1607942197,112.916
1607925600,30.81,52,0,20,10000,1607901973,1607942197,52.652
1607929200,32.69,49,0,40,10000,1607901973,1607942197,38.748
1607932800,32.66,49,0,40,10000,1607901973,1607942197,26.028
1607936400,32.74,46,0,75,10000,1607901973,1607942197,14.828
1607940000,32.13,49,0,40,10000,1607901973,1607942197,1.928
1607943600,31.06,55,0,20,9000,1607901973,1607942197,0
1607947200,29.21,69,0,98,9000,1607901973,1607942197,0
1607950800,27.49,78,0,92,9000,1607901973,1607942197,0
1607954400,26.8,83,0,89,9000,1607901973,1607942197,0
1607958000,26.24,83,0,81,9000,1607901973,1607942197,0
1607961600,26.69,99,0,74,10000,1607901973,1607942197,0
1607965200,26.09,99,0,77,10000,1607988405,1608028621,0
1607968800,26.1,99,0,70,10000,1607988405,1608028621,0
